
活动连接

  协议  本地地址          外部地址        状态
  TCP    127.0.0.1:9474         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9475         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9478         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9479         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9480         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9481         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9482         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9483         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9486         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9488         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9489         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9490         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9493         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9495         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:9502         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9506         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9507         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9509         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:9511         127.0.0.1:1168         ESTABLISHED
  TCP    127.0.0.1:9996         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:14013        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:14016        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:14019        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:14022        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:14023        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:27382        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:28317        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:31085        0.0.0.0:0              LISTENING
  TCP    192.168.0.249:139      0.0.0.0:0              LISTENING
  TCP    192.168.0.249:1205     192.168.0.60:5500      ESTABLISHED
  TCP    192.168.0.249:1582     43.155.124.138:443     ESTABLISHED
