lzc-recovery  | 2025-11-14T15:44:38.432455000Z 2025-11-14T23:44:38.432+0800	INFO	bridge	bridge/basic.go:56	[Usersession] LOGIN uid:"axy"  device_version:"v0.0.0-349-99-g27619805"  virtual_ip:"fc03:1136:38cf:2b6d:e263:b22a:20e4:0"  peer_id:"12D3KooWRkJueQxLXiFSLeBXimF1ZSfk7ezjmnXZ7iPn9ypbUYkY"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/192.168.110.204/tcp/52613"
hext          | 2025-11-15T16:21:40.331402000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:39.629242000Z 2025-11-14T23:44:39.628+0800	INFO	monitor	monitor/monitor.go:45	found gateway start ping it && lazycat cloud
hext          | 2025-11-15T16:21:40.332142000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:44.629754000Z 2025-11-14T23:44:44.629+0800	INFO	monitor	monitor/monitor.go:211	found gateway 192.168.3.1
lzc-recovery  | 2025-11-14T15:44:44.629965000Z 2025-11-14T23:44:44.629+0800	INFO	lzcservers	lzcservers/lzcservers.go:22	TRY FORCE UPDATE LZC SERVERS
hext          | 2025-11-15T16:21:45.345795000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:44.690079000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers @ to "lazycat.cloud"
hext          | 2025-11-15T17:20:45.445818000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:44.690303000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers stun to "stun.lazycat.cloud:3478"
hext          | 2025-11-15T17:20:45.447530000Z discovering nat...
hext          | 2025-11-15T17:20:50.459601000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:44.690397000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers relay to "https://origin.lazycat.cloud/list"
lzc-recovery  | 2025-11-14T15:44:44.690462000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers hlcs to "https://origin.lazycat.cloud/api/v2"
hext          | 2025-11-15T18:19:50.553146000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:44.690529000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers account to "account.lazycatmicroserver.com"
hext          | 2025-11-15T18:19:50.553852000Z discovering nat...
hext          | 2025-11-15T18:19:55.566824000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:44.690585000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers dl to "dl.lazycatmicroserver.com"
lzc-recovery  | 2025-11-14T15:44:44.690632000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers hlogs to "hlogs.lazycat.cloud"
hext          | 2025-11-15T19:18:55.665734000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:44.690687000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers testflight to "testflight.lazycat.cloud"
hext          | 2025-11-15T19:18:55.666831000Z discovering nat...
hext          | 2025-11-15T19:19:00.681459000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:44.690734000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers ping to "ping.lazycat.cloud"
lzc-recovery  | 2025-11-14T15:44:44.690788000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers registry-static to "registry-static.lazycat.cloud"
hext          | 2025-11-15T20:18:00.777659000Z time's up, re-establishing port mapping...
hext          | 2025-11-15T20:18:00.794799000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:44.690859000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers registry-fallback to "registry-dynamic.lazycat.cloud"
lzc-recovery  | 2025-11-14T15:44:44.690906000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers appstore.api to "appstore.api.lazycat.cloud"
hext          | 2025-11-15T20:18:05.785492000Z failed to establish mapping: no nat discovered
hext          | 2025-11-15T21:17:05.851846000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:44.690961000Z 2025-11-14T23:44:44.689+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers appstore to "appstore.lazycat.cloud"
hext          | 2025-11-15T21:17:05.852565000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:44.691007000Z 2025-11-14T23:44:44.690+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers playground.api to "playground.api.lazycat.cloud"
lzc-recovery  | 2025-11-14T15:44:44.691053000Z 2025-11-14T23:44:44.690+0800	INFO	lzcservers	lzcservers/lzcservers.go:33	update lzcservers playground to "playground.lazycat.cloud"
hext          | 2025-11-15T21:17:10.866903000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:44.691115000Z 2025-11-14T23:44:44.690+0800	INFO	monitor	monitor/monitor.go:231	start ping "ping.lazycat.cloud"
hext          | 2025-11-15T22:16:10.867537000Z time's up, re-establishing port mapping...
hext          | 2025-11-15T22:16:10.868281000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:45.183932000Z 2025-11-14T23:44:45.183+0800	INFO	bridge	bridge/basic.go:56	[Usersession] LOGIN uid:"axy"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:38a5:5f5f:1cd6:73bd:8922:0"  peer_id:"12D3KooWArYUgwHJwgDwugWCf32Szrx4UxsaibfUSD5UgRJ4t1h5"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/192.168.110.201/tcp/34166"
hext          | 2025-11-15T22:16:15.881883000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:45:27.845746000Z 2025-11-14T23:45:27.845+0800	INFO	status	boxStatus/startup.go:176	enter startup(OK)
lzc-recovery  | 2025-11-14T15:45:27.845897000Z 2025-11-14T23:45:27.845+0800	INFO	status	boxStatus/index.go:201	box status changed: 
hext          | 2025-11-15T23:15:15.882366000Z time's up, re-establishing port mapping...
hext          | 2025-11-15T23:15:15.883280000Z discovering nat...
lzc-recovery  | 2025-11-14T15:45:27.845923000Z 2025-11-14T23:45:27.845+0800	INFO	status	boxStatus/status.go:32	:
hext          | 2025-11-15T23:15:20.896310000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:45:27.845946000Z {
hext          | 2025-11-16T00:14:20.896451000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:45:27.845964000Z   "dataPartition": "Ok",
lzc-recovery  | 2025-11-14T15:45:27.845983000Z   "hportalInitialized": true,
hext          | 2025-11-16T00:14:20.897181000Z discovering nat...
hext          | 2025-11-16T00:14:25.910483000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:45:27.846004000Z   "startupStatus": {
lzc-recovery  | 2025-11-14T15:45:27.846027000Z     "status": "OK",
hext          | 2025-11-16T01:13:26.009559000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:45:27.846046000Z     "exception": "Ok"
hext          | 2025-11-16T01:13:26.026337000Z discovering nat...
hext          | 2025-11-16T01:13:31.025588000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:45:27.846065000Z   },
hext          | 2025-11-16T02:12:31.123541000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:45:27.846086000Z   "shutdownReason": 0
hext          | 2025-11-16T02:12:31.124815000Z discovering nat...
lzc-recovery  | 2025-11-14T15:45:27.846109000Z }
lzc-recovery  | 2025-11-14T15:45:27.846127000Z 2025-11-14T23:45:27.845+0800	INFO	status	boxStatus/status.go:38	box system status:
hext          | 2025-11-16T02:12:36.133862000Z failed to establish mapping: no nat discovered
hext          | 2025-11-16T03:11:36.234687000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:45:27.846148000Z {
hext          | 2025-11-16T03:11:36.235181000Z discovering nat...
lzc-recovery  | 2025-11-14T15:45:27.846165000Z   "status": 1
hext          | 2025-11-16T03:11:41.246238000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:45:27.846187000Z }
hext          | 2025-11-16T04:10:41.345597000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:45:28.748871000Z try init lazy runtime conn
hext          | 2025-11-16T04:10:41.346226000Z discovering nat...
lzc-recovery  | 2025-11-14T15:47:34.748434000Z 2025-11-14T23:47:34.748+0800	INFO	bridge	bridge/basic.go:56	[Usersession] LOGIN uid:"error"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:3894:4584:1502:b296:4135:0"  peer_id:"12D3KooWJRvhTfvZq4UxTzrg79hud1Zx13kyXdunadRXAssGt45y"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/114.66.59.177/tcp/4001/p2p/12D3KooWGDaCjwJPAfeLGLKwUFtr7hxVt1FeqvZxdGpVWaDYpWAM/p2p-circuit"
hext          | 2025-11-16T04:10:46.357752000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:47:36.140934000Z 2025-11-14T23:47:36.140+0800	INFO	bridge	bridge/basic.go:56	[Usersession] LOGIN uid:"error"  device_version:"v0.0.0-349-150-g65078878"  virtual_ip:"fc03:1136:3894:4584:1502:b296:4135:0"  peer_id:"12D3KooWJRvhTfvZq4UxTzrg79hud1Zx13kyXdunadRXAssGt45y"  is_logined:true  is_trust_dev:true  remote_multi_addr:"/ip4/114.66.59.177/tcp/4001/p2p/12D3KooWGDaCjwJPAfeLGLKwUFtr7hxVt1FeqvZxdGpVWaDYpWAM/p2p-circuit"
hext          | 2025-11-16T05:09:46.453640000Z time's up, re-establishing port mapping...
